id,descriptions,rightanswer,A,B,C,D,wrong_count
632,我们讲依宪治国、依宪执政，不是要否定和放弃党的领导，而是强调党领导人民制定宪法和法律，党领导人民执行宪法和法律，党自身必须在宪法和法律的范围内活动。,A,正确,错误,,,0
633,我国宪法规定公民享有人身权、财产权、社会保障权、受教育权等权利和（）游行、示威等自由。,ABCD,言论,出版,集会,结社,0
634,由于国家机关和国家工作人员侵犯公民权利而受到损失的人，没有索取赔偿的权利。,B,正确,错误,,,0
635,世界上没有放之四海而皆准的人权发展道路和保障模式，人权事业发展必须按照国际社会的主流意见加以推进。,B,正确,错误,,,0
636,国家立法权、行政权、监察权、审判权和检察权极为特殊，它们可以不受宪法和法律的约束。,B,正确,错误,,,0
637,民主集中制是我国国家组织形式和活动方式的基本原则，也是集中全党全国人民集体智慧，实现（）的基本原则和主要途径。,CD,快速随意决策,以少数个案做标准的决策,科学决策,民主决策,0
638,国家（）都由人民代表大会产生，对它负责，受它监督。,ABCD,行政机关,监察机关,审判机关,检察机关,0
639,宪法的生命在于实施，宪法的权威也在于实施。,A,正确,错误,,,0
640,（）必须以宪法为根本活动准则，并且负有维护宪法尊严、保证宪法实施的职责。,ABCD,全国各族人民,一切国家机关和武装力量,各政党和各社会团体,各企业事业组织,0
641,加强宪法实施，包括（）。,ACD,坚持依宪执政,不必过多宣传，违法必究即可,坚持依法立法,坚持严格执法,0
642,在新的历史条件下，推进全面依法治国、加强宪法实施，对宪法监督提出了新的更高要求，具体包括（）。,ABCD,健全人大工作机制,健全宪法解释机制,健全备案审查机制,健全合宪性审查机制,0
643,（）根据宪法规定行使宪法解释权，依照宪法精神对宪法规定的内容、含义和界限作出解释。,B,全国人大,全国人大常委会,中央办公厅,中央书记处,0
644,要建立健全（）间备案审查衔接联动机制，加强备案审查制度和能力建设，实行有件必备、有备必审、有错必纠。,ABCD,党委,人大,政府,军队,0
645,全体公民要自觉地（）、运用宪法，大力弘扬宪法精神，不断增强宪法意识，把宪法作为判断大是大非的准绳，同一切破坏宪法权威、践踏宪法尊严的行为作斗争。,ABCD,尊崇宪法,学习宪法,遵守宪法,维护宪法,0
646,宪法是实现国家认同、凝聚社会共识、促进个人发展的基本准则，是维系一个国家、一个民族凝聚力的根本纽带。,A,正确,错误,,,0
647,（）是人民当家作主的根本保证，是中国特色社会主义最本质的特征，是中国特色社会主义制度最大优势。,B,依法治国,党的领导,公平正义,依宪治国,0
648,任何组织或者个人都不得有超越宪法法律的特权。,A,正确,错误,,,0
649,尊法学法守法用法，增强法治意识，提高法治素养，必须养成良好的法治思维和行为方式。,A,正确,错误,,,0
650,法治思维以法治价值和法治精神为指导，蕴含着（）等法治理念，是一种正当性思维。,ABCD,公正,平等,民主,人权,0
651,法治思维是一种融法律的价值属性和工具理性于一体的特殊的高级法律意识。,A,正确,错误,,,0
652,法治思维是基于对法律的尊崇和对法治的信念判断是非、权衡利弊、解决问题的思维方式。,A,正确,错误,,,0
653,对公民而言，法治思维就是当自己的理想目标、（）等与法律的价值、规则或要求发生冲突时，能够服从法律，作出符合法律的选择，按照法律的指引实施自己的行为。,ABCD,思想感情,行为方式,权利诉求,利益关系,0
654,法治思维的主要内容除了法律至上之外，还包括（）等内容。,ABCD,权力制约,公平正义,权利保障,程序正当,0
655,法律至上是指在国家或社会的所有规范中，法律是（）的规范。,ABC,地位最高,效力最广,强制力最大,调整范围最广,0
656,（）具有最高的法律效力，是其他一切法律的依据。,A,宪法,道德规范,行业规范,宗教规范,0
657,法律至上的具体表现不包括（）。,C,法律的普遍适用,法律的优先适用,情理大于法理,法律的不可违抗,0
658,（）是指法律在本国主权范围内对所有人具有普遍的约束力。,B,法律的至上性,法律的普遍适用,法律的不可违抗,法律的制约性,0
659,法律的普遍适用要求所有（）都必须遵守法律，依法享有和行使法定职权与权利，承担和履行法定职责与义务。,ABC,国家机关,社会组织,公民个人,海外华人,0
660,（）是指当同一项社会关系同时受到多种社会规范的调整而多种社会规范又相互矛盾时，要优先考虑法律规范的适用。,C,法律的普遍适用,法律的不可违抗,法律的优先适用,法律的科学性,0
661,“法律必须遵守，违反法律要受到惩罚”体现了法律的（）。,D,优先适用,普遍适用,人人平等,不可违抗,0
662,任何人不论权力大小、职位高低，只要有违法犯罪行为，就要受到法律制裁，这说明，法律具有（）。,D,普遍适用性,至上性,制约性,不可违抗性,0
663,权力制约是指国家机关的权力必须受到法律的规制和约束。,A,正确,错误,,,0
664,在我国，国家权力是人民的，即一切权力为民所有；国家权力是为人民服务的，即一切权力为民所用。,A,正确,错误,,,0
665,只有依法对权力的配置和运行进行有效制约和监督，才能防止权力私用、权力滥用和权力腐败。,A,正确,错误,,,0
666,权力制约包括（）等要求。,ABCD,权利由法定,有权必有责,用权受监督,违法受追究,0
667,权力由法定，即法无授权不可为，是指国家机关的职权必须来自法律明确的授予。,A,正确,错误,,,0
668,国家机关必须严格依照法律规定的权限行使职权，不得行使法律未授予的权力。,A,正确,错误,,,0
669,有权必有责，是指国家机关在获得权力的同时必须承担相应的职责和责任。,A,正确,错误,,,0
670,当发生了属于其职权范围内的事项时，国家机关必须履行相应的管理职责。,A,正确,错误,,,0
671,用权受监督，是指国家权力的运行和行使必须接受各种形式的监督，让人民监督权力，让权力在阳光下运行。,A,正确,错误,,,0
672,违法受追究，是指国家工作人员违法行使权力必须受到法律的追究和制裁。,A,正确,错误,,,0
673,养成权力制约思维，要求自觉运用权力、勇于监督权力，同时自觉监督宪法、法律的实施。,A,正确,错误,,,0
674,公平正义是指社会的政治利益、经济利益和其他利益在全体社会成员之间合理、公平分配和占有。,A,正确,错误,,,0
675,一般来讲，公平正义主要包括（）。,ABCD,权利公平,机会公平,规则公平,救济公平,0
676,权利公平指的是（）。,ABC,权利主体平等，国家对每个权利主体“不偏袒”“非歧视”,享有的权利特别是基本权利平等,权利保护和权利救济平等,人人都可直接参与国家决策,0
677,机会公平是指生活在同一社会中的成员拥有相同的发展机会和发展前景，反对任何形式的歧视。机会公平包括（）。,ABC,国家和社会要积极为社会成员的发展创造条件，并努力创造平等的起点,社会成员的发展进步权要受到同等尊重，不断拓展社会成员的发展领域,不仅要关注当代人的机会平等，还要考虑后代人的机会平等,必须尽快实现按需分配,0
678,规则公平是指对所有人适用同一规则和标准，不得因人而异。,A,正确,错误,,,0
679,规则公平包括（），任何人不得享有法律之外的特权，任何人也不会被法律排除在保护之外。,ABC,法律规则面前人人平等,法律内容面前人人平等,法律保护面前人人平等,人人都可直接参与制定法律,0
680,救济公平是指为权利受到侵害或处于弱势地位的公民提供平等有效的救济。,A,正确,错误,,,0
681,救济公平包括（）。,ABC,司法救济公平,行政救济公平,社会救济公平,财产救济公平,0
682,政府对需要救济的社会成员提供的救济服务要一律平等，不得区别对待，指的是救济公平中的（）。,B,司法救济公平,行政救济公平,社会救济公平,财产救济公平,0
683,（）指的是社会对需要救济的社会成员提供的社会救济服务要一律平等，不得厚此薄彼。,C,司法救济公平,行政救济公平,社会救济公平,财产救济公平,0
684,司法救济公平指的是司法要公正对待每一个当事人，致力于实现司法公正。,A,正确,错误,,,0
685,养成公平正义思维，要求增强实现公平正义的责任感，为促进全社会的公平正义而奋斗。,A,正确,错误,,,0
686,权利保障主要是指对公民权利的法律保障，具体包括公民权利的（）。,ABCD,宪法保障,立法保障,行政保障,司法保障,0
687,行政机关是否能够有效地保护公民权利，直接反映出一个国家的权利保障状况。,A,正确,错误,,,0
688,做一件事情，往往需要按照一定的程序，只有按照程序做，才能防止主观任性、无序混乱，这体现出的法治思维是（）。,A,程序正当,法律至上,权力制约,权利保障,0
689,只有严格按照法律程序办事办案，处理结果才可能公正并具有公信力和权威性。,A,正确,错误,,,0
690,程序的正当，表现在程序的合法性、（）等方面。,ABCD,中立性,参与性,公开性,时限性,0
691,权利和义务的内容、种类是不同的，其中被法律规定或认可的，称为法律权利和法律义务。,A,正确,错误,,,0
692,法律权利是指由一定的社会物质生活条件所制约的行为自由，是法律所允许的权利人为了满足自己的利益而采取的、由其他人的法律义务所保障的法律手段。,A,正确,错误,,,0
693,权利的产生、发展和实现，都必须以一定的社会经济条件为基础。,A,正确,错误,,,0
694,（）权利观与其他权利观的根本区别是强调社会的物质生活条件对权利的制约和决定作用。,B,资本主义,马克思主义,功利主义,实用主义,0
695,不能脱离一个国家或地区的经济社会发展阶段和水平空谈权利及其实现。,A,正确,错误,,,0
696,同样一种权利，在不同的社会制度下和不同的国家法律中表现形式有所不同。,A,正确,错误,,,0
697,资本主义法律规定私有财产神圣不可侵犯，而社会主义法律首先规定公共财产神圣不可侵犯，同时规定公民合法的私有财产不受侵犯。,A,正确,错误,,,0
698,（），这是法律权利区别于其他权利的根本所在。,A,由国家强制力保障其实现,由社会舆论保障其实现,由道德强制力保障其实现,由宗教强制力保障其实现,0
699,国家机关行使权力不得任性，公民个人行使法律权利也不得任性。,A,正确,错误,,,0
700,法律义务具有法定的（），违反法律义务必须承担法律责任。,B,局限性,强制性,随意性,参与性,0
701,法律义务是指由一定的社会物质生活条件所制约的社会责任，是保证法律所规定的义务人按照权利人要求从事一定行为或不从事一定行为以满足权利人利益的法律手段，其特点包括（）。,ABCD,法律义务是历史的,法律义务源于现实需要,法律义务必须依法设定,法律义务可能发生变化,0
702,一个国家或地区的（）和安全形势等因素，会对法律义务的设定产生重要影响。,ABCD,制度性质,历史传统,文化背景,宗教信仰,0
703,在法治国家，不存在只享受权利的主体，也不存在只承担义务的主体。,A,正确,错误,,,0
704,在法律权利与法律义务相一致的情况下，一个人无论是行使权利还是履行义务，实际上都是对自己有利的。,A,正确,错误,,,0
705,依法行使法律权利，是体现权利正当性和保障权利实现的充分必要条件。,A,正确,错误,,,0
706,（），是公民参与国家政治活动的权利和自由的统称。,A,政治权利,财产权利,社会经济权利,宗教信仰自由,0
707,公民的政治权利构成了实现人民主权原则及各种具体民主制度不可或缺的前提条件，反过来又体现了人民主权原则及各种具体民主制度的必然要求。,A,正确,错误,,,0
708,政治权利的行使主要表现为公民参与国家、社会组织与管理的活动，主要包括（）。,ABCD,选举权,表达权,民主管理权,监督权,0
709,表达权对于一个国家的政治、（）的发展具有基础性作用。,ABCD,经济,文化,科技,道德,0
710,民主管理权指的是公民根据宪法法律规定，管理（）的权利。,ABC,国家事务,经济和文化事业,社会事务,国际事务,0
711,（），是指公民的人身不受非法侵犯的权利。它是公民参加国家政治、经济与社会生活的基础，是公民权利的重要内容。,B,政治权利,人身权利,财产权利,社会经济权利,0
712,人身权利主要包括（）、通信自由权。,ABCD,生命健康权,人身自由权,人格尊严权,住宅安全权,0
713,（）是人最基本、最原始的权利，具有神圣性与不可转让性，不可非法剥夺，享有该权利是人享有其他各项权利的前提。,B,劳动权,生命权,财产权,监督权,0
714,人格尊严权的基本内容有姓名权、（）等。,ABCD,肖像权,名誉权,荣誉权,隐私权,0
715,住宅安全权即公民居住、生活、休息的场所不受非法侵入或搜查的权利，这里的“住宅”只包括固定居住的住宅，不包括临时性的住所。,B,正确,错误,,,0
716,通信自由权，是指公民通过（）及其他通信手段，根据自己的意愿进行通信，不受他人干涉的权利。,ABCD,书信,电报,传真,电话,0
717,财产权利，是指公民、法人或其他组织通过劳动或其他合法方式取得财产和（）财产的权利。,ABCD,占有,使用,收益,处分,0
718,财产权主要包括私有财产权和继承权，是公民在社会生活中获得自由与实现经济利益的必要途径。,A,正确,错误,,,0
719,我国宪法规定，“公民的合法的私有财产不受侵犯。”,A,正确,错误,,,0
720,公民在其财产权受到侵犯时，有权要求侵权行为人停止侵害、（），或依法向人民法院提起诉讼。,ABCD,返还财产,排除妨害,恢复原状,赔偿损失,0
721,在我国，继承人有的是法律明确规定的，有的是被继承人通过订立合法有效的遗嘱指定的。,A,正确,错误,,,0
722,社会经济权利，是指公民要求国家根据社会经济的发展状况，积极采取措施干预社会经济生活，加强社会建设，提供社会服务，以促进公民的自由和幸福，保障公民过上健康而有尊严的生活的权利。,A,正确,错误,,,0
723,社会经济权利保障公民过上健康而有尊严的生活，主要包括（）。,ABCD,劳动权,休息权,社会保障权,物质帮助权,0
724,劳动权是公民赖以生存的基础，是行使其他权利的物质保障，包括平等就业和选择职业的权利、（）等。,ABCD,取得劳动报酬的权利,休息休假的权利,获得劳动安全卫生的权利,提请劳动争议处理的权利,0
725,休息权，是指劳动者在付出一定的劳动以后所享有的休息和休养的权利，是劳动权存在和发展的基础。,A,正确,错误,,,0
726,休息权和劳动权是密切联系的，休息权是提高劳动效率、保障劳动者的生活和身体健康所必需的。,A,正确,错误,,,0
727,公民在法定条件下可从国家和社会获得物质帮助的权利称为（），如国家发展为公民享受这些权利所需要的社会保险、社会救济和医疗卫生事业等。,D,劳动权,休息权,社会保障权,物质帮助权,0
728,我国宪法规定，宗教团体和宗教事务不受外国势力的支配。,A,正确,错误,,,0
729,文化教育权利，是公民按照宪法的规定在文化和教育领域享有的权利，主要包括教育方面的权利和文化活动方面的权利。,A,正确,错误,,,0
730,受教育权是公民在教育领域享有的基本权利，是公民接受文化、科学等方面训练的权利。,A,正确,错误,,,0
731,文化活动方面的权利主要表现为公民的文化权利，主要包括（）。,ABC,科学研究的自由,文学艺术创作的自由,进行其他文化活动的自由,宣传邪教思想的自由,0
732,文化权利有个人的文化权利和集体的文化权利之分。,A,正确,错误,,,0
733,公民在行使法律权利时，不仅要在形式上符合相关法律的规定，也要符合立法意图和精神，不得违反宪法法律确定的基本原则，保障权利行使的正当性。,A,正确,错误,,,0
734,行使权利不得破坏公序良俗，妨碍法律的社会功能和法律价值的实现。,A,正确,错误,,,0
735,赋予公民言论自由权的目的在于保障思想自由，不能将该权利作为打击不同意见、钳制思想自由的手段。,A,正确,错误,,,0
736,法律权利的行使必须伴随着法律义务的履行，但法律义务更需要由法律加以规定。,A,正确,错误,,,0
737,维护国家主权和领土完整是包括台湾同胞在内的全中国人民的共同义务。,A,正确,错误,,,0
738,我国宪法规定了公民遵守宪法和法律的义务，还规定了若干具体义务，主要包括（）、尊重社会公德等。,ABCD,保守国家秘密,爱护公共财产,遵守劳动纪律,遵守公共秩序,0
739,公共财产是指全民所有财产和劳动群众集体所有财产。,A,正确,错误,,,0
740,每位公民必须维护公共秩序，并同一切违反公共秩序的行为作斗争。公共秩序包括（）等。,BCD,家庭秩序,生产秩序,社会秩序,教学科研秩序,0
741,国家安全是指国家的领土完整和主权不受侵犯，国家政权不受威胁。,A,正确,错误,,,0
742,我国实行义务兵与志愿兵相结合、民兵与预备役相结合的兵役制度。,A,正确,错误,,,0
743,我国公民都有义务依法服兵役。,A,正确,错误,,,0
744,根据《中华人民共和国兵役法》，普通高等学校毕业生的征集年龄可以放宽到（）周岁。,D,18,20,22,24,0
745,大学生要（），不断提升自己的法治素养。,ABC,尊重法律权威,学习法律知识,养成守法习惯,直接参与法律制定,0
746,学法是为了更好地用法，把对法治的尊崇、对法律的敬畏转化成思维方式和行为方式，做到在法治之下，而不是法治之外，更不是法治之上想问题、作决策、办事情。,A,正确,错误,,,0
747,大学生除了要运用法律维护自身权利外，还要通过法律维护社会公共利益，对违法犯罪行为要（）。,AB,敢于揭露,勇于抵制,袖手旁观,明哲保身,0
